Make,Model,Year,Powertrain_Ref
GMC,Savana,2010,pt-chevrolet-l96-6.0
GMC,Savana,2011,pt-chevrolet-l96-6.0
GMC,Savana,2012,pt-chevrolet-l96-6.0
GMC,Savana,2013,pt-chevrolet-l96-6.0
GMC,Savana,2014,pt-chevrolet-l96-6.0
GMC,Savana,2015,pt-chevrolet-l96-6.0
GMC,Savana,2016,pt-chevrolet-l96-6.0
GMC,Savana,2017,pt-chevrolet-l96-6.0
GMC,Savana,2018,pt-chevrolet-l96-6.0
GMC,Savana,2019,pt-chevrolet-l96-6.0
GMC,Savana,2020,pt-chevrolet-l96-6.0
Chevrolet,Tahoe,2008,pt-chevrolet-lfa-6.0hy
Chevrolet,Tahoe,2009,pt-chevrolet-lfa-6.0hy
GMC,Yukon,2008,pt-chevrolet-lfa-6.0hy
GMC,Yukon,2009,pt-chevrolet-lfa-6.0hy
Cadillac,Escalade,2008,pt-chevrolet-lfa-6.0hy
Cadillac,Escalade,2009,pt-chevrolet-lfa-6.0hy
Chevrolet,Silverado,2008,pt-chevrolet-lfa-6.0hy
Chevrolet,Silverado,2009,pt-chevrolet-lfa-6.0hy
GMC,Sierra,2008,pt-chevrolet-lfa-6.0hy
GMC,Sierra,2009,pt-chevrolet-lfa-6.0hy
Chevrolet,Tahoe,2010,pt-chevrolet-lz1-6.0hy
Chevrolet,Tahoe,2011,pt-chevrolet-lz1-6.0hy
Chevrolet,Tahoe,2012,pt-chevrolet-lz1-6.0hy
Chevrolet,Tahoe,2013,pt-chevrolet-lz1-6.0hy
GMC,Yukon,2010,pt-chevrolet-lz1-6.0hy
GMC,Yukon,2011,pt-chevrolet-lz1-6.0hy
GMC,Yukon,2012,pt-chevrolet-lz1-6.0hy
GMC,Yukon,2013,pt-chevrolet-lz1-6.0hy
Cadillac,Escalade,2010,pt-chevrolet-lz1-6.0hy
Cadillac,Escalade,2011,pt-chevrolet-lz1-6.0hy
Cadillac,Escalade,2012,pt-chevrolet-lz1-6.0hy
Cadillac,Escalade,2013,pt-chevrolet-lz1-6.0hy
Chevrolet,Silverado,2010,pt-chevrolet-lz1-6.0hy
Chevrolet,Silverado,2011,pt-chevrolet-lz1-6.0hy
Chevrolet,Silverado,2012,pt-chevrolet-lz1-6.0hy
Chevrolet,Silverado,2013,pt-chevrolet-lz1-6.0hy
GMC,Sierra,2010,pt-chevrolet-lz1-6.0hy
GMC,Sierra,2011,pt-chevrolet-lz1-6.0hy
GMC,Sierra,2012,pt-chevrolet-lz1-6.0hy
GMC,Sierra,2013,pt-chevrolet-lz1-6.0hy
Chevrolet,Express,2008,pt-chevrolet-ly2-4.8
Chevrolet,Express,2009,pt-chevrolet-ly2-4.8
GMC,Savana,2008,pt-chevrolet-ly2-4.8
GMC,Savana,2009,pt-chevrolet-ly2-4.8
Chevrolet,Silverado,2007,pt-chevrolet-ly2-4.8
Chevrolet,Silverado,2008,pt-chevrolet-ly2-4.8
Chevrolet,Silverado,2009,pt-chevrolet-ly2-4.8
Chevrolet,Tahoe,2007,pt-chevrolet-ly2-4.8
Chevrolet,Tahoe,2008,pt-chevrolet-ly2-4.8
Chevrolet,Tahoe,2009,pt-chevrolet-ly2-4.8
GMC,Sierra,2007,pt-chevrolet-ly2-4.8
GMC,Sierra,2008,pt-chevrolet-ly2-4.8
GMC,Sierra,2009,pt-chevrolet-ly2-4.8
GMC,Yukon,2007,pt-chevrolet-ly2-4.8
GMC,Yukon,2008,pt-chevrolet-ly2-4.8
GMC,Yukon,2009,pt-chevrolet-ly2-4.8
Chevrolet,Express,2010,pt-chevrolet-l20-4.8
Chevrolet,Express,2011,pt-chevrolet-l20-4.8
Chevrolet,Express,2012,pt-chevrolet-l20-4.8
Chevrolet,Express,2013,pt-chevrolet-l20-4.8
Chevrolet,Express,2014,pt-chevrolet-l20-4.8
Chevrolet,Express,2015,pt-chevrolet-l20-4.8
Chevrolet,Express,2016,pt-chevrolet-l20-4.8
Chevrolet,Express,2017,pt-chevrolet-l20-4.8
GMC,Savana,2010,pt-chevrolet-l20-4.8
GMC,Savana,2011,pt-chevrolet-l20-4.8
GMC,Savana,2012,pt-chevrolet-l20-4.8
GMC,Savana,2013,pt-chevrolet-l20-4.8
GMC,Savana,2014,pt-chevrolet-l20-4.8
GMC,Savana,2015,pt-chevrolet-l20-4.8
GMC,Savana,2016,pt-chevrolet-l20-4.8
GMC,Savana,2017,pt-chevrolet-l20-4.8
Chevrolet,Silverado,2010,pt-chevrolet-l20-4.8
Chevrolet,Silverado,2011,pt-chevrolet-l20-4.8
Chevrolet,Silverado,2012,pt-chevrolet-l20-4.8
Chevrolet,Silverado,2013,pt-chevrolet-l20-4.8
GMC,Sierra,2010,pt-chevrolet-l20-4.8
GMC,Sierra,2011,pt-chevrolet-l20-4.8
GMC,Sierra,2012,pt-chevrolet-l20-4.8
GMC,Sierra,2013,pt-chevrolet-l20-4.8
Chevrolet,Trailblazer,2005,pt-chevrolet-lh6-5.3
Chevrolet,Trailblazer,2006,pt-chevrolet-lh6-5.3
Chevrolet,Trailblazer,2007,pt-chevrolet-lh6-5.3
Chevrolet,Trailblazer,2008,pt-chevrolet-lh6-5.3
Chevrolet,Trailblazer,2009,pt-chevrolet-lh6-5.3
GMC,Envoy,2005,pt-chevrolet-lh6-5.3
GMC,Envoy,2006,pt-chevrolet-lh6-5.3
GMC,Envoy,2007,pt-chevrolet-lh6-5.3
GMC,Envoy,2008,pt-chevrolet-lh6-5.3
GMC,Envoy,2009,pt-chevrolet-lh6-5.3
Buick,Rainier,2005,pt-chevrolet-lh6-5.3
Buick,Rainier,2006,pt-chevrolet-lh6-5.3
Buick,Rainier,2007,pt-chevrolet-lh6-5.3
Saab,9-7X,2005,pt-chevrolet-lh6-5.3
Saab,9-7X,2006,pt-chevrolet-lh6-5.3
Saab,9-7X,2007,pt-chevrolet-lh6-5.3
Saab,9-7X,2008,pt-chevrolet-lh6-5.3
Saab,9-7X,2009,pt-chevrolet-lh6-5.3
Isuzu,Ascender,2005,pt-chevrolet-lh6-5.3
Isuzu,Ascender,2006,pt-chevrolet-lh6-5.3
Isuzu,Ascender,2007,pt-chevrolet-lh6-5.3
Chevrolet,Silverado,2007,pt-chevrolet-lh6-5.3
Chevrolet,Silverado,2008,pt-chevrolet-lh6-5.3
Chevrolet,Silverado,2009,pt-chevrolet-lh6-5.3
GMC,Sierra,2007,pt-chevrolet-lh6-5.3
GMC,Sierra,2008,pt-chevrolet-lh6-5.3
GMC,Sierra,2009,pt-chevrolet-lh6-5.3
Pontiac,Grand Prix,2005,pt-chevrolet-ls4-5.3
Pontiac,Grand Prix,2006,pt-chevrolet-ls4-5.3
Pontiac,Grand Prix,2007,pt-chevrolet-ls4-5.3
Pontiac,Grand Prix,2008,pt-chevrolet-ls4-5.3
Chevrolet,Impala,2006,pt-chevrolet-ls4-5.3
Chevrolet,Impala,2007,pt-chevrolet-ls4-5.3
Chevrolet,Impala,2008,pt-chevrolet-ls4-5.3
Chevrolet,Impala,2009,pt-chevrolet-ls4-5.3
Chevrolet,Monte Carlo,2006,pt-chevrolet-ls4-5.3
Chevrolet,Monte Carlo,2007,pt-chevrolet-ls4-5.3
Buick,LaCrosse,2008,pt-chevrolet-ls4-5.3
Buick,LaCrosse,2009,pt-chevrolet-ls4-5.3
Chevrolet,Avalanche,2007,pt-chevrolet-ly5-5.3
Chevrolet,Avalanche,2008,pt-chevrolet-ly5-5.3
Chevrolet,Avalanche,2009,pt-chevrolet-ly5-5.3
Chevrolet,Silverado,2007,pt-chevrolet-ly5-5.3
Chevrolet,Silverado,2008,pt-chevrolet-ly5-5.3
Chevrolet,Silverado,2009,pt-chevrolet-ly5-5.3
Chevrolet,Suburban,2007,pt-chevrolet-ly5-5.3
Chevrolet,Suburban,2008,pt-chevrolet-ly5-5.3
Chevrolet,Suburban,2009,pt-chevrolet-ly5-5.3
Chevrolet,Tahoe,2007,pt-chevrolet-ly5-5.3
Chevrolet,Tahoe,2008,pt-chevrolet-ly5-5.3
Chevrolet,Tahoe,2009,pt-chevrolet-ly5-5.3
GMC,Sierra,2007,pt-chevrolet-ly5-5.3
GMC,Sierra,2008,pt-chevrolet-ly5-5.3
GMC,Sierra,2009,pt-chevrolet-ly5-5.3
GMC,Yukon,2007,pt-chevrolet-ly5-5.3
GMC,Yukon,2008,pt-chevrolet-ly5-5.3
GMC,Yukon,2009,pt-chevrolet-ly5-5.3
GMC,Yukon XL,2007,pt-chevrolet-ly5-5.3
GMC,Yukon XL,2008,pt-chevrolet-ly5-5.3
GMC,Yukon XL,2009,pt-chevrolet-ly5-5.3
Chevrolet,Avalanche,2010,pt-chevrolet-lc9-5.3
Chevrolet,Avalanche,2011,pt-chevrolet-lc9-5.3
Chevrolet,Avalanche,2012,pt-chevrolet-lc9-5.3
Chevrolet,Avalanche,2013,pt-chevrolet-lc9-5.3
Chevrolet,Silverado,2010,pt-chevrolet-lc9-5.3
Chevrolet,Silverado,2011,pt-chevrolet-lc9-5.3
Chevrolet,Silverado,2012,pt-chevrolet-lc9-5.3
Chevrolet,Silverado,2013,pt-chevrolet-lc9-5.3
GMC,Sierra,2010,pt-chevrolet-lc9-5.3
GMC,Sierra,2011,pt-chevrolet-lc9-5.3
GMC,Sierra,2012,pt-chevrolet-lc9-5.3
GMC,Sierra,2013,pt-chevrolet-lc9-5.3
Chevrolet,Suburban,2010,pt-chevrolet-lmg-5.3
Chevrolet,Suburban,2011,pt-chevrolet-lmg-5.3
Chevrolet,Suburban,2012,pt-chevrolet-lmg-5.3
Chevrolet,Suburban,2013,pt-chevrolet-lmg-5.3
Chevrolet,Suburban,2014,pt-chevrolet-lmg-5.3
Chevrolet,Tahoe,2010,pt-chevrolet-lmg-5.3
Chevrolet,Tahoe,2011,pt-chevrolet-lmg-5.3
Chevrolet,Tahoe,2012,pt-chevrolet-lmg-5.3
Chevrolet,Tahoe,2013,pt-chevrolet-lmg-5.3
Chevrolet,Tahoe,2014,pt-chevrolet-lmg-5.3
GMC,Yukon,2010,pt-chevrolet-lmg-5.3
GMC,Yukon,2011,pt-chevrolet-lmg-5.3
GMC,Yukon,2012,pt-chevrolet-lmg-5.3
GMC,Yukon,2013,pt-chevrolet-lmg-5.3
GMC,Yukon,2014,pt-chevrolet-lmg-5.3
GMC,Yukon XL,2010,pt-chevrolet-lmg-5.3
GMC,Yukon XL,2011,pt-chevrolet-lmg-5.3
Chevrolet,Silverado,2014,pt-chevrolet-l86-6.2
Chevrolet,Silverado,2015,pt-chevrolet-l86-6.2
Chevrolet,Silverado,2016,pt-chevrolet-l86-6.2
Chevrolet,Silverado,2017,pt-chevrolet-l86-6.2
Chevrolet,Silverado,2018,pt-chevrolet-l86-6.2
GMC,Sierra,2014,pt-chevrolet-l86-6.2
GMC,Sierra,2015,pt-chevrolet-l86-6.2
GMC,Sierra,2016,pt-chevrolet-l86-6.2
GMC,Sierra,2017,pt-chevrolet-l86-6.2
GMC,Sierra,2018,pt-chevrolet-l86-6.2
Chevrolet,Suburban,2015,pt-chevrolet-l86-6.2
Chevrolet,Suburban,2016,pt-chevrolet-l86-6.2
Chevrolet,Suburban,2017,pt-chevrolet-l86-6.2
Chevrolet,Suburban,2018,pt-chevrolet-l86-6.2
Chevrolet,Tahoe,2015,pt-chevrolet-l86-6.2
Chevrolet,Tahoe,2016,pt-chevrolet-l86-6.2
Chevrolet,Tahoe,2017,pt-chevrolet-l86-6.2
Chevrolet,Tahoe,2018,pt-chevrolet-l86-6.2
GMC,Yukon,2015,pt-chevrolet-l86-6.2
GMC,Yukon,2016,pt-chevrolet-l86-6.2
GMC,Yukon,2017,pt-chevrolet-l86-6.2
GMC,Yukon,2018,pt-chevrolet-l86-6.2
GMC,Yukon XL,2015,pt-chevrolet-l86-6.2
GMC,Yukon XL,2016,pt-chevrolet-l86-6.2
GMC,Yukon XL,2017,pt-chevrolet-l86-6.2
GMC,Yukon XL,2018,pt-chevrolet-l86-6.2
Cadillac,Escalade,2015,pt-chevrolet-l86-6.2
Cadillac,Escalade,2016,pt-chevrolet-l86-6.2
Cadillac,Escalade,2017,pt-chevrolet-l86-6.2
Cadillac,Escalade,2018,pt-chevrolet-l86-6.2
Cadillac,Escalade ESV,2017,pt-chevrolet-l86-6.2
Cadillac,Escalade ESV,2018,pt-chevrolet-l86-6.2
Chevrolet,Silverado,2019,pt-chevrolet-l87-6.2
Chevrolet,Silverado,2020,pt-chevrolet-l87-6.2
Chevrolet,Silverado,2021,pt-chevrolet-l87-6.2
Chevrolet,Silverado,2022,pt-chevrolet-l87-6.2
Chevrolet,Silverado,2023,pt-chevrolet-l87-6.2
Chevrolet,Silverado,2024,pt-chevrolet-l87-6.2
Chevrolet,Silverado,2025,pt-chevrolet-l87-6.2
GMC,Sierra,2019,pt-chevrolet-l87-6.2
GMC,Sierra,2020,pt-chevrolet-l87-6.2
GMC,Sierra,2021,pt-chevrolet-l87-6.2
GMC,Sierra,2022,pt-chevrolet-l87-6.2
GMC,Sierra,2023,pt-chevrolet-l87-6.2
GMC,Sierra,2024,pt-chevrolet-l87-6.2
GMC,Sierra,2025,pt-chevrolet-l87-6.2
Chevrolet,Suburban,2019,pt-chevrolet-l87-6.2
Chevrolet,Suburban,2020,pt-chevrolet-l87-6.2
Chevrolet,Suburban,2021,pt-chevrolet-l87-6.2
Chevrolet,Suburban,2022,pt-chevrolet-l87-6.2
Chevrolet,Suburban,2023,pt-chevrolet-l87-6.2
Chevrolet,Suburban,2024,pt-chevrolet-l87-6.2
Chevrolet,Suburban,2025,pt-chevrolet-l87-6.2
Chevrolet,Tahoe,2019,pt-chevrolet-l87-6.2
Chevrolet,Tahoe,2020,pt-chevrolet-l87-6.2
Chevrolet,Tahoe,2021,pt-chevrolet-l87-6.2
Chevrolet,Tahoe,2022,pt-chevrolet-l87-6.2
Chevrolet,Tahoe,2023,pt-chevrolet-l87-6.2
Chevrolet,Tahoe,2024,pt-chevrolet-l87-6.2
Chevrolet,Tahoe,2025,pt-chevrolet-l87-6.2
GMC,Yukon,2019,pt-chevrolet-l87-6.2
GMC,Yukon,2020,pt-chevrolet-l87-6.2
GMC,Yukon,2021,pt-chevrolet-l87-6.2
GMC,Yukon,2022,pt-chevrolet-l87-6.2
GMC,Yukon,2023,pt-chevrolet-l87-6.2
GMC,Yukon,2024,pt-chevrolet-l87-6.2
GMC,Yukon,2025,pt-chevrolet-l87-6.2
GMC,Yukon XL,2019,pt-chevrolet-l87-6.2
GMC,Yukon XL,2020,pt-chevrolet-l87-6.2
GMC,Yukon XL,2021,pt-chevrolet-l87-6.2
GMC,Yukon XL,2022,pt-chevrolet-l87-6.2
GMC,Yukon XL,2023,pt-chevrolet-l87-6.2
GMC,Yukon XL,2024,pt-chevrolet-l87-6.2
GMC,Yukon XL,2025,pt-chevrolet-l87-6.2
Cadillac,Escalade,2019,pt-chevrolet-l87-6.2
Cadillac,Escalade,2020,pt-chevrolet-l87-6.2
Cadillac,Escalade,2021,pt-chevrolet-l87-6.2
Cadillac,Escalade,2022,pt-chevrolet-l87-6.2
Cadillac,Escalade,2023,pt-chevrolet-l87-6.2
Cadillac,Escalade,2024,pt-chevrolet-l87-6.2
Cadillac,Escalade,2025,pt-chevrolet-l87-6.2
Cadillac,Escalade ESV,2019,pt-chevrolet-l87-6.2
Cadillac,Escalade ESV,2020,pt-chevrolet-l87-6.2
Cadillac,Escalade ESV,2021,pt-chevrolet-l87-6.2
Cadillac,Escalade ESV,2022,pt-chevrolet-l87-6.2
Cadillac,Escalade ESV,2023,pt-chevrolet-l87-6.2
Cadillac,Escalade ESV,2024,pt-chevrolet-l87-6.2
Cadillac,Escalade ESV,2025,pt-chevrolet-l87-6.2
Chevrolet,Silverado,2014,pt-chevrolet-l83-5.3
Chevrolet,Silverado,2015,pt-chevrolet-l83-5.3
Chevrolet,Silverado,2016,pt-chevrolet-l83-5.3
Chevrolet,Silverado,2017,pt-chevrolet-l83-5.3
Chevrolet,Silverado,2018,pt-chevrolet-l83-5.3
Chevrolet,Silverado,2019,pt-chevrolet-l83-5.3
Chevrolet,Silverado,2020,pt-chevrolet-l83-5.3
GMC,Sierra,2014,pt-chevrolet-l83-5.3
GMC,Sierra,2015,pt-chevrolet-l83-5.3
GMC,Sierra,2016,pt-chevrolet-l83-5.3
GMC,Sierra,2017,pt-chevrolet-l83-5.3
GMC,Sierra,2018,pt-chevrolet-l83-5.3
GMC,Sierra,2019,pt-chevrolet-l83-5.3
GMC,Sierra,2020,pt-chevrolet-l83-5.3
Chevrolet,Suburban,2015,pt-chevrolet-l83-5.3
Chevrolet,Suburban,2016,pt-chevrolet-l83-5.3
Chevrolet,Suburban,2017,pt-chevrolet-l83-5.3
Chevrolet,Suburban,2018,pt-chevrolet-l83-5.3
Chevrolet,Suburban,2019,pt-chevrolet-l83-5.3
Chevrolet,Suburban,2020,pt-chevrolet-l83-5.3
Chevrolet,Tahoe,2015,pt-chevrolet-l83-5.3
Chevrolet,Tahoe,2016,pt-chevrolet-l83-5.3
Chevrolet,Tahoe,2017,pt-chevrolet-l83-5.3
Chevrolet,Tahoe,2018,pt-chevrolet-l83-5.3
Chevrolet,Tahoe,2019,pt-chevrolet-l83-5.3
Chevrolet,Tahoe,2020,pt-chevrolet-l83-5.3
GMC,Yukon,2015,pt-chevrolet-l83-5.3
GMC,Yukon,2016,pt-chevrolet-l83-5.3
GMC,Yukon,2017,pt-chevrolet-l83-5.3
GMC,Yukon,2018,pt-chevrolet-l83-5.3
GMC,Yukon,2019,pt-chevrolet-l83-5.3
GMC,Yukon,2020,pt-chevrolet-l83-5.3
GMC,Yukon XL,2015,pt-chevrolet-l83-5.3
GMC,Yukon XL,2016,pt-chevrolet-l83-5.3
GMC,Yukon XL,2017,pt-chevrolet-l83-5.3
GMC,Yukon XL,2018,pt-chevrolet-l83-5.3
GMC,Yukon XL,2019,pt-chevrolet-l83-5.3
GMC,Yukon XL,2020,pt-chevrolet-l83-5.3
Chevrolet,Silverado,2016,pt-chevrolet-l8b-5.3
Chevrolet,Silverado,2017,pt-chevrolet-l8b-5.3
Chevrolet,Silverado,2018,pt-chevrolet-l8b-5.3
GMC,Sierra,2016,pt-chevrolet-l8b-5.3
GMC,Sierra,2017,pt-chevrolet-l8b-5.3
GMC,Sierra,2018,pt-chevrolet-l8b-5.3
Chevrolet,Silverado,2019,pt-chevrolet-l82-5.3
Chevrolet,Silverado,2020,pt-chevrolet-l82-5.3
Chevrolet,Silverado,2021,pt-chevrolet-l82-5.3
GMC,Sierra,2019,pt-chevrolet-l82-5.3
GMC,Sierra,2020,pt-chevrolet-l82-5.3
GMC,Sierra,2021,pt-chevrolet-l82-5.3
Chevrolet,Suburban,2019,pt-chevrolet-l82-5.3
Chevrolet,Suburban,2020,pt-chevrolet-l82-5.3
Chevrolet,Suburban,2021,pt-chevrolet-l82-5.3
Chevrolet,Tahoe,2019,pt-chevrolet-l82-5.3
Chevrolet,Tahoe,2020,pt-chevrolet-l82-5.3
Chevrolet,Tahoe,2021,pt-chevrolet-l82-5.3
GMC,Yukon,2019,pt-chevrolet-l82-5.3
GMC,Yukon,2020,pt-chevrolet-l82-5.3
GMC,Yukon,2021,pt-chevrolet-l82-5.3
GMC,Yukon XL,2019,pt-chevrolet-l82-5.3
GMC,Yukon XL,2020,pt-chevrolet-l82-5.3
GMC,Yukon XL,2021,pt-chevrolet-l82-5.3
Chevrolet,Silverado,2022,pt-chevrolet-l84-5.3
Chevrolet,Silverado,2023,pt-chevrolet-l84-5.3
Chevrolet,Silverado,2024,pt-chevrolet-l84-5.3
Chevrolet,Silverado,2025,pt-chevrolet-l84-5.3
GMC,Sierra,2022,pt-chevrolet-l84-5.3
GMC,Sierra,2023,pt-chevrolet-l84-5.3
GMC,Sierra,2024,pt-chevrolet-l84-5.3
GMC,Sierra,2025,pt-chevrolet-l84-5.3
Chevrolet,Suburban,2022,pt-chevrolet-l84-5.3
Chevrolet,Suburban,2023,pt-chevrolet-l84-5.3
Chevrolet,Suburban,2024,pt-chevrolet-l84-5.3
Chevrolet,Suburban,2025,pt-chevrolet-l84-5.3
Chevrolet,Tahoe,2022,pt-chevrolet-l84-5.3
Chevrolet,Tahoe,2023,pt-chevrolet-l84-5.3
Chevrolet,Tahoe,2024,pt-chevrolet-l84-5.3
Chevrolet,Tahoe,2025,pt-chevrolet-l84-5.3
GMC,Yukon,2022,pt-chevrolet-l84-5.3
GMC,Yukon,2023,pt-chevrolet-l84-5.3
GMC,Yukon,2024,pt-chevrolet-l84-5.3
GMC,Yukon,2025,pt-chevrolet-l84-5.3
GMC,Yukon XL,2022,pt-chevrolet-l84-5.3
GMC,Yukon XL,2023,pt-chevrolet-l84-5.3
GMC,Yukon XL,2024,pt-chevrolet-l84-5.3
GMC,Yukon XL,2025,pt-chevrolet-l84-5.3
Chevrolet,Corvette,2019,pt-chevrolet-lt5-6.2sc
Chevrolet,Silverado,2014,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2015,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2016,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2017,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2018,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2019,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2020,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2021,pt-chevrolet-lv3-4.3
GMC,Sierra,2014,pt-chevrolet-lv3-4.3
GMC,Sierra,2015,pt-chevrolet-lv3-4.3
GMC,Sierra,2016,pt-chevrolet-lv3-4.3
GMC,Sierra,2017,pt-chevrolet-lv3-4.3
GMC,Sierra,2018,pt-chevrolet-lv3-4.3
GMC,Sierra,2019,pt-chevrolet-lv3-4.3
GMC,Sierra,2020,pt-chevrolet-lv3-4.3
GMC,Sierra,2021,pt-chevrolet-lv3-4.3
Chevrolet,Colorado,2015,pt-chevrolet-lv3-4.3
Chevrolet,Colorado,2016,pt-chevrolet-lv3-4.3
Chevrolet,Colorado,2017,pt-chevrolet-lv3-4.3
Chevrolet,Colorado,2018,pt-chevrolet-lv3-4.3
Chevrolet,Colorado,2019,pt-chevrolet-lv3-4.3
Chevrolet,Colorado,2020,pt-chevrolet-lv3-4.3
Chevrolet,Colorado,2021,pt-chevrolet-lv3-4.3
GMC,Canyon,2015,pt-chevrolet-lv3-4.3
GMC,Canyon,2016,pt-chevrolet-lv3-4.3
GMC,Canyon,2017,pt-chevrolet-lv3-4.3
GMC,Canyon,2018,pt-chevrolet-lv3-4.3
GMC,Canyon,2019,pt-chevrolet-lv3-4.3
GMC,Canyon,2020,pt-chevrolet-lv3-4.3
GMC,Canyon,2021,pt-chevrolet-lv3-4.3
Chevrolet,Silverado,2019,pt-chevrolet-lv1-4.3
Chevrolet,Silverado,2020,pt-chevrolet-lv1-4.3
Chevrolet,Silverado,2021,pt-chevrolet-lv1-4.3
Chevrolet,Silverado,2022,pt-chevrolet-lv1-4.3
Chevrolet,Silverado,2023,pt-chevrolet-lv1-4.3
Chevrolet,Silverado,2024,pt-chevrolet-lv1-4.3
Chevrolet,Silverado,2025,pt-chevrolet-lv1-4.3
GMC,Sierra,2019,pt-chevrolet-lv1-4.3
GMC,Sierra,2020,pt-chevrolet-lv1-4.3
GMC,Sierra,2021,pt-chevrolet-lv1-4.3
GMC,Sierra,2022,pt-chevrolet-lv1-4.3
GMC,Sierra,2023,pt-chevrolet-lv1-4.3
GMC,Sierra,2024,pt-chevrolet-lv1-4.3
GMC,Sierra,2025,pt-chevrolet-lv1-4.3
Chevrolet,Colorado,2022,pt-chevrolet-lv1-4.3
Chevrolet,Colorado,2023,pt-chevrolet-lv1-4.3
Chevrolet,Colorado,2024,pt-chevrolet-lv1-4.3
Chevrolet,Colorado,2025,pt-chevrolet-lv1-4.3
GMC,Canyon,2022,pt-chevrolet-lv1-4.3
GMC,Canyon,2023,pt-chevrolet-lv1-4.3
GMC,Canyon,2024,pt-chevrolet-lv1-4.3
GMC,Canyon,2025,pt-chevrolet-lv1-4.3
Chevrolet,Silverado HD,2022,pt-chevrolet-l8t-6.6
Chevrolet,Silverado HD,2023,pt-chevrolet-l8t-6.6
Chevrolet,Silverado HD,2024,pt-chevrolet-l8t-6.6
Chevrolet,Silverado HD,2025,pt-chevrolet-l8t-6.6
GMC,Sierra HD,2022,pt-chevrolet-l8t-6.6
GMC,Sierra HD,2023,pt-chevrolet-l8t-6.6
GMC,Sierra HD,2024,pt-chevrolet-l8t-6.6
GMC,Sierra HD,2025,pt-chevrolet-l8t-6.6
Holden,VT Commodore,1999,pt-chevrolet-ls1-5.7-holden
Holden,VT Commodore,2000,pt-chevrolet-ls1-5.7-holden
Holden,VX Commodore,2000,pt-chevrolet-ls1-5.7-holden
Holden,VX Commodore,2001,pt-chevrolet-ls1-5.7-holden
Holden,VX Commodore,2002,pt-chevrolet-ls1-5.7-holden
Holden,VX Commodore,2003,pt-chevrolet-ls1-5.7-holden
Holden,VU Ute,2000,pt-chevrolet-ls1-5.7-holden
Holden,VU Ute,2001,pt-chevrolet-ls1-5.7-holden
Holden,VU Ute,2002,pt-chevrolet-ls1-5.7-holden
Holden,VU Ute,2003,pt-chevrolet-ls1-5.7-holden
Holden,VY Commodore,2002,pt-chevrolet-ls1-5.7-holden
Holden,VY Commodore,2003,pt-chevrolet-ls1-5.7-holden
Holden,VY Commodore,2004,pt-chevrolet-ls1-5.7-holden
Holden,VZ Commodore,2004,pt-chevrolet-ls1-5.7-holden
Holden,VZ Commodore,2005,pt-chevrolet-ls1-5.7-holden
Holden,Statesman,1999,pt-chevrolet-ls1-5.7-holden
Holden,Statesman,2000,pt-chevrolet-ls1-5.7-holden
Holden,Statesman,2001,pt-chevrolet-ls1-5.7-holden
Holden,Statesman,2002,pt-chevrolet-ls1-5.7-holden
Holden,Statesman,2003,pt-chevrolet-ls1-5.7-holden
Holden,Statesman,2004,pt-chevrolet-ls1-5.7-holden
Holden,Statesman,2005,pt-chevrolet-ls1-5.7-holden
Holden,Monaro,2001,pt-chevrolet-ls1-5.7-holden
Holden,Monaro,2002,pt-chevrolet-ls1-5.7-holden
Holden,Monaro,2003,pt-chevrolet-ls1-5.7-holden
Holden,Monaro,2004,pt-chevrolet-ls1-5.7-holden
Holden,Monaro,2005,pt-chevrolet-ls1-5.7-holden
HSV,VX/VU,2000,pt-chevrolet-ls1-5.7-hsv
HSV,VX/VU,2001,pt-chevrolet-ls1-5.7-hsv
HSV,VX/VU,2002,pt-chevrolet-ls1-5.7-hsv
HSV,VX/VU,2003,pt-chevrolet-ls1-5.7-hsv
HSV,GTO,2001,pt-chevrolet-ls1-5.7-hsv
HSV,GTO,2002,pt-chevrolet-ls1-5.7-hsv
HSV,GTO,2003,pt-chevrolet-ls1-5.7-hsv
HSV,GTO,2004,pt-chevrolet-ls1-5.7-hsv
HSV,Y Series,2002,pt-chevrolet-ls1-5.7-hsv
HSV,Y Series,2003,pt-chevrolet-ls1-5.7-hsv
HSV,Y Series,2004,pt-chevrolet-ls1-5.7-hsv
HSV,Z Series Avalanche,2005,pt-chevrolet-ls1-5.7-hsv
Holden,VZ Commodore,2006,pt-chevrolet-l76-6.0
Holden,WL Statesman,2006,pt-chevrolet-l76-6.0
Holden,VE Commodore,2008,pt-chevrolet-l76-6.0
Holden,VE Commodore,2009,pt-chevrolet-l76-6.0
Holden,VE Commodore,2010,pt-chevrolet-l76-6.0
Holden,VE Ute,2008,pt-chevrolet-l76-6.0
Holden,VE Ute,2009,pt-chevrolet-l76-6.0
Holden,VE Ute,2010,pt-chevrolet-l76-6.0
Holden,WM Statesman,2008,pt-chevrolet-l76-6.0
Holden,WM Caprice,2008,pt-chevrolet-l76-6.0
Holden,WM Caprice,2009,pt-chevrolet-l76-6.0
